Week	Day	Team1	Team2	B1	B2	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	Result	Patch	Notes	Link	Region
8	2	TDK	TIP	Nidalee,Twisted Fate,Nautilus	Ryze,Kalista,Rek'Sai	Elise	Vayne,Bard	Vladimir,Syndra	Shen,Alistar	Lee Sin,Sivir	Orianna	2	5.13	Tahm Kench Disabled for Week 8	O7kbGBCQSXM	NA
8	2	T8	GV	Urgot,Rumble,Sivir	Ryze,Shen,Kalista	Maokai	Nidalee,Tristana	Azir,Braum	Gnar,Janna	Vi,Jinx	Kog'Maw	2	5.13	Tahm Kench Disabled for Week 8	wean4feC4m0	NA
9	1	T8	TL	Azir,Sivir,Alistar	Ryze,Kalista,Tristana	Corki	Gragas,Braum	Fizz,Viktor	Maokai,Nidalee	Kog'Maw,Janna	Orianna	2	5.13		f3GeQiR3_nM	NA
9	1	DIG	CLG	Rumble,Twisted Fate,Kalista	Ryze,Sivir,Ahri	Rek'Sai	Kog'Maw,Braum	Shen,Lulu	Ezreal,Alistar	Gragas,Tristana	Olaf	2	5.13		FTgfPIDYfD8	NA
9	1	GV	TIP	Twisted Fate,Kog'Maw,Lee Sin	Ryze,Kalista,Fizz	Nidalee	Maokai,Lucian	Orianna,Janna	Shen,Sivir	Evelynn,Alistar	Azir	2	5.13		2f20ZX4Ayf4	NA
9	1	NME	TSM	Azir,Annie,Kalista	Ryze,Sivir,Fizz	Nidalee	Nautilus,Viktor	Jinx,Morgana	Maokai,Janna	Gragas,Tristana	Kog'Maw	2	5.13		BELrvyQH_iw	NA
9	1	TDK	C9	Rumble,Rek'Sai,Kalista	Ryze,Nidalee,Vladimir	Thresh	Zac,Lucian	Kha'Zix,Zed	Maokai,Tristana	Nunu,Karma	Orianna	1	5.13		NlYjQxEWlOM	NA
9	2	NME	DIG	Alistar,Annie,Kalista	Ryze,Nidalee,Maokai	Sivir	Ekko,Nautilus	Riven,Viktor	Rek'Sai,Kog'Maw	Jarvan IV,Thresh	Ezreal	2	5.13		807zOXR7mk8	NA
9	2	CLG	T8	Nidalee,Tristana,Braum	Ryze,Kalista,Sivir	Gragas	Ezreal,Janna	Olaf,Twisted Fate	Corki,Alistar	Rek'Sai,Jayce	Rumble	1	5.13		C6KQG3R2gLM	NA
9	2	TSM	C9	Rumble,Kalista,Maokai	Ryze,Azir,Nidalee	Sivir	Shen,Gragas	Viktor,Annie	Tristana,Karma	Gnar,Shyvana	Orianna	2	5.13		1BU1G8ahXiU	NA
9	2	GV	TDK	Evelynn,Zac,Vladimir	Ryze,Nidalee,Kalista	Sivir	Rumble,Shen	Gragas,Jarvan IV	Elise,Thresh	Kassadin,Draven	Irelia	2	5.13		dACQW5L7sLs	NA
9	2	TL	TIP	Nidalee,Shen,Alistar	Kalista,Ryze,Rek'Sai	Sivir	Maokai,Azir	Gragas,Annie	Janna,Kog'Maw	Gnar,Lee Sin	Viktor	2	5.13		CBqIvw2D9Ag	NA
9	3	T8	C9	Karma,Nidalee,Sivir	Ryze,Kalista,Azir	Tristana	Gragas,Orianna	Shen,Alistar	Maokai,Braum	Shyvana,Ashe	Lulu	2	5.13		kDhREcsHcf4	NA
9	3	TIP	GV	Rumble,Thresh,Kalista	Ryze,Shen,Azir	Nidalee	Kog'Maw,Alistar	Gnar,Orianna	Maokai,Sivir	Rengar,Braum	Twisted Fate	1	5.13		L4HRM0rCEnI	NA
9	3	TL	CLG	Olaf,Gragas,Alistar	Ryze,Azir,Annie	Kalista	Maokai,Nidalee	Viktor,Thresh	Sivir,Janna	Fizz,Nautilus	Twisted Fate	1	5.13		lUsciYyoZrQ	NA
